date,open,high,low,close,volume,vwap,Returns
09/18/2013 5:14:54,1700.75,1701.75,1699.75,1700.5,20956,1700.672719,-0.000735619
09/18/2013 6:56:30,1700.25,1700.75,1699.25,1699.25,20973,1699.853109,-0.000294334
09/18/2013 7:28:58,1699.25,1700.25,1698.75,1698.75,20968,1699.540836,-0.000589015
09/18/2013 8:12:02,1698.75,1699.5,1697.75,1697.75,20988,1698.685487,0
09/18/2013 8:30:06,1697.75,1698.5,1697.25,1697.75,20983,1697.81018,-0.000294594
09/18/2013 8:33:14,1697.75,1698.75,1697,1697.25,21001,1697.960085,0.000735943
09/18/2013 8:38:15,1697.25,1698.75,1697,1698.5,20986,1697.904353,-0.000294464
09/18/2013 8:43:59,1698.5,1698.5,1697,1698,21000,1697.916405,0.00014721
09/18/2013 8:51:47,1698,1698.75,1697.25,1698.25,20993,1698.084623,-0.000147232
09/18/2013 8:59:34,1698.25,1699,1697.5,1698,20988,1698.380408,0.000441501
09/18/2013 9:05:58,1698,1698.75,1697.25,1698.75,20986,1697.94619,-0.000147189
09/18/2013 9:14:32,1698.75,1699.25,1698.25,1698.5,20987,1698.794492,-0.000883913
09/18/2013 9:23:31,1698.5,1698.75,1697,1697,20995,1697.875804,-0.000737137
09/18/2013 9:28:30,1697,1697.25,1695.5,1695.75,21007,1696.453158,0
09/18/2013 9:34:49,1695.75,1696.25,1695,1695.75,21005,1695.620328,0.000147406
09/18/2013 9:42:19,1695.75,1696.5,1695,1696,21037,1695.72344,-0.000442413
09/18/2013 9:50:03,1696,1696,1694.5,1695.25,21026,1695.234686,0.000442217
09/18/2013 10:01:40,1695.25,1696.25,1695,1696,20883,1695.709177,-0.000294898
09/18/2013 10:16:15,1696,1696.5,1695.5,1695.5,21157,1695.965272,0.000147427
09/18/2013 10:31:45,1695.5,1696,1695,1695.75,21020,1695.573478,-0.000590058
09/18/2013 10:43:18,1695.75,1696.25,1694.5,1694.75,21017,1695.476912,0.000147493
09/18/2013 10:52:13,1694.75,1695.5,1694,1695,21037,1694.748087,-0.000590319
09/18/2013 11:03:27,1695,1695.5,1693.75,1694,21040,1694.370853,0
09/18/2013 11:18:02,1694,1694.75,1693.5,1694,21039,1694.063727,-0.000147601
09/18/2013 11:26:11,1694,1694.5,1693.25,1693.75,21045,1693.911321,0.000442608
09/18/2013 11:49:34,1693.75,1694.75,1693.5,1694.5,21040,1694.165245,0.000442413
09/18/2013 12:07:56,1694.5,1695.75,1694.5,1695.25,21026,1695.124477,0.000442217
09/18/2013 12:20:57,1695.25,1696.5,1695,1696,21020,1695.873513,0.000442022
09/18/2013 12:29:44,1696,1697.5,1696,1696.75,21004,1696.823462,-0.000442217
